player,mins,goals,assists,ga,wcs,fw,squad,ga90
Hong Yong-jo,270,0,0.0,0.0,1,True,kpKorea DPR,0.0
Honorino Landa,180,0,0.0,0.0,1,True,clChile,0.0
Horacio López Salgado,120,0,0.0,0.0,1,True,mxMexico,0.0
Horst Hrubesch,325,1,0.0,1.0,1,True,deWest Germany,0.27692307692307694
Hossam Hassan,270,0,0.0,0.0,1,True,egEgypt,0.0
Hossein Faraki,182,0,0.0,0.0,1,True,irIR Iran,0.0
Houmane Jarir,180,1,0.0,1.0,1,True,maMorocco,0.5
Hristo Bonev,473,2,0.0,2.0,2,True,bgBulgaria,0.3805496828752643
Hristo Stoichkov,865,6,0.0,6.0,2,True,bgBulgaria,0.6242774566473989
Hugo Almeida,160,1,0.0,1.0,2,True,ptPortugal,0.5625
Hugo Sotil,363,0,0.0,0.0,2,True,pePeru,0.0
Hugo Sánchez,750,1,0.0,1.0,3,True,mxMexico,0.12
Hulk,394,0,0.0,0.0,1,True,brBrazil,0.0
Humberto Suazo,135,0,0.0,0.0,1,True,clChile,0.0
Hussain Ghuloum,270,0,0.0,0.0,1,True,aeUAE,0.0
Hussein Saeed,90,0,0.0,0.0,1,True,iqIraq,0.0
Hwang Hee-chan,318,1,0.0,1.0,2,True,krKorea Republic,0.2830188679245283
Hwang Sun-hong,654,2,0.0,2.0,3,True,krKorea Republic,0.27522935779816515
Hwang Ui-jo,106,0,0.0,0.0,1,True,krKorea Republic,0.0
Håvard Flo,269,1,0.0,1.0,1,True,noNorway,0.33457249070631967
Héctor De Bourgoing,90,1,0.0,1.0,1,True,frFrance,1.0
Héctor Salva,90,0,0.0,0.0,1,True,uyUruguay,0.0
Héctor Silva,143,0,0.0,0.0,1,True,uyUruguay,0.0
